estimator,C,alpha,gamma,kernel,lambda,learning_rate,max_depth,max_score,mean_score,min_samples_leaf,min_samples_split,min_score,n_estimators,n_jobs,n_neighbors,penalty,std_score,subsample
XGBoost,,0.8999999999999999,0.8999999999999999,,0.8999999999999999,0.7000000000000001,3.0,0.9988726042841037,0.998246273330828,,,0.9977452085682075,150.0,4.0,,,0.0009982072811292651,0.5
ExtraTrees,,,,,,,14.0,0.9988726042841037,0.9980583740448452,2.0,3.0,0.9975573092822247,100.0,,,,0.0062488873161653065,
GradientBoosting,,,,,,1.0,3.0,0.998684704998121,0.9979331078541902,,,0.9975573092822247,140.0,,,,0.008717932914841471,
RandomForest,,,,,,,10.0,0.9984968057121383,0.9973694099962419,,4.0,0.9966178128523112,100.0,,,,0.007101057394363043,
KNN,,,,,,,,0.9941751221345358,0.9930477264186397,,,0.9922961292747088,,,21.0,,0.00200230080961368,
BaggedDecisionTree,,,,,,,,0.9936114242765878,0.9922961292747088,,,0.9906050357008643,100.0,,,,0.0016017426847732244,
DecisionTree,,,,,,,14.0,0.9883502442690718,0.9879744456971064,2.0,3.0,0.9877865464111236,,,,,0.0034179540647982527,
LogisticRegression,0.9500000000000001,,,,,,,0.9582863585118376,0.9566578980333208,,,0.9549041713641488,,,,l2,0.0033856649760089235,
SVM,0.9500000000000001,,,rbf,,,,0.9562194663660278,0.9543404735062007,,,0.9505824877865464,,,,,0.009282807932379445,
AdaBoost,,,,,,1.0,,0.8040210447200301,0.7642490291870224,,,0.7292371288989102,150.0,,,,0.1208561365041418,
